[Artist Name],[Artist style Trained?],[Midjourney (prompt: artwork by <artist full name>)],[Midjourney (prompt: portrait of a person by <artist full name> --ar 2:3)],[Midjourney (prompt: environment design by <artist full name> --ar 16:9)],[extra example],"Author Specific prompt [first column for prompt, second for image] (author speciality)",
Frank Stella,Yes,,,,,,
Frank Thorne,Yes,,,,,,
Frank Weston Benson,Yes,,,,,,
Frank Xavier Leyendecker,Yes,,,,,,
Frank Zappa,Yes,,,,,,
Franklin Booth,Yes,,,,,,
Frans Hals,Yes,,,,,,
Frans Snyders,Yes,,,,,,
Franz Gertsch,NO,,,,,,
Franz Heinrich Louis,NO,,,,,,
Franz Kline,Yes,,,,,,
Franz Marc,Yes,,,, ,,
Franz Sedlacek,Yes,,,,,,
Franz Stuck,Yes,,,,,,
Franz Vohwinkel,NO,,,,,,
Franz Xaver Winterhalter,Yes,,,,,,
Frauke Dannert,NO,,,,,,
Fred Deux,NO,,,,,,
Fred Ludekens,NO,,,,,,
Fred Tomaselli,Yes,,,,,,
Fred Williams,NO,,,,,,
Frederic Edwin Church,Yes,,,,,,
Frederic Remington,Yes,,,,,,
Frederick Childe Hassam,Yes,,,,,,
Frederick Lord Leighton,Yes,,,,,,
Frederick Mccubbin,Yes,,,,,,
Frida Kahlo,Yes,,,,,,
Friedensreich Hundertwasser,Yes,,,,,,
Friedensreich Regentag Dunkelbunt Hundertwasser,Yes,,,,,,
Friedrich Meckseper,NO,,,,,,
Frits Van den Berghe,NO,,,,,,
Fru Bugge,NO,,,,,,
Fumino Hayashi,NO,,,,,,
Funatsu Kazuki,NO,,,,,,
Gabor Szikszai,NO,,,,,,
Gabriele Münter,Yes,,,,,,
Gal Barkan,NO,,,,,,
Garry Trudeau,Yes,,,,,,
Gary Larson,Yes,,,,,,
Gaston Bussière,Yes,,,,,,
Gaston Chaissac,NO,,,,,,
Gaye Daniels,NO,,,,,,
Gediminas Pranckevicius,Yes,,,,,,
Geertgen Tot Sint Jans,Yes,,,,,,
Gene Colan,Yes,,,,,,
Genndy Tartakovsky,Yes,,,,,,
Gentile Bellini,Yes,,,,,,
Geof Darrow,Yes,,,,,,
George B. Bridgman,Yes,,,,,,
George Cruikshank,Yes,,,,,,
George Frederic Watts,Yes,,,,,,
George Grosz,Yes,,,,,,
George Inness,Yes,,,,,,
George Lucas,NO,,,,,,
George Luks,Yes,,,,,,
George Perez,Yes,,,,,,
George Stubbs,Yes,,,,,,
George Wesley Bellows,Yes,,,,,,
Georges Braque,?,,,,,,
Georges De La Tour,?,,,,,,
Georges Melies,Yes,,,,,,
Georges Pierre Seurat,Yes,,,,,,
Georges Rouault,Yes,,,,,,
Georges Seurat,Yes,,,,,,
Georgia O’Keeffe,Yes,,,,,,
Georgia Totto O'Keeffe,Yes,,,,,,
Georgios Jakobides,Yes,,,,,,
Gerald Brom,Yes,,,,,,
Gerald Scarfe,Yes,,,,,,
Gerard David,Yes,,,,,,
Gerard van Honthorst,Yes,,,,,,
Gerhard Munthe,NO,,,,,,
Gerhard Richter,Yes,,,,,,
